plot,pd,rate,canopy_percent,canopy_ratio,,,,,,
101,sep20,30,38.83,0.3883,,,,,,
102,sep20,120,60.58,0.6058,,,,,,
103,sep20,60,52.2,0.522,,,,,,
104,sep20,0,8.44,0.0844,,,,,,
105,sep20,15,31.47,0.3147,,,,,,
106,sep20,90,57.14,0.5714,,,,,,
107,sep29,60,36.88,0.3688,,,,,,
108,sep29,30,27.42,0.2742,,,,,,
109,sep29,0,1.36,0.0136,,,,,,
110,sep29,15,23.17,0.2317,,,,,,
111,sep29,120,61.29,0.6129,,,,,,
112,sep29,90,59.37,0.5937,,,,,,
113,oct7,30,6.75,0.0675,,,,,,
114,oct7,0,0.01,0.0001,,,,,,
115,oct7,120,45.01,0.4501,,,,,,
116,oct7,60,31.45,0.3145,,,,,,
117,oct7,90,41.76,0.4176,,,,,,
118,oct7,15,4.17,0.0417,,,,,,
119,oct13,60,9.6,0.096,,,,,,
120,oct13,15,3.76,0.0376,,,,,,
121,oct13,0,0,0,,,,,,
122,oct13,30,6.37,0.0637,,,,,,
123,oct13,120,22.69,0.2269,,,,,,
124,oct13,90,21.84,0.2184,,,,,,
125,oct20,90,2.95,0.0295,,,,,,
126,oct20,30,1.15,0.0115,,,,,,
127,oct20,15,0.11,0.0011,,,,,,
128,oct20,60,1.17,0.0117,,,,,,
129,oct20,0,0.01,0.0001,,,,,,
130,oct20,120,1.78,0.0178,,,,,,
201,sep20,0,2.57,0.0257,,,,,,
202,sep20,30,23.89,0.2389,,,,,,
203,sep20,90,36.96,0.3696,,,,,,
204,sep20,120,36.85,0.3685,,,,,,
205,sep20,60,31.78,0.3178,,,,,,
206,sep20,15,25.06,0.2506,,,,,,
207,sep29,15,11.2,0.112,,,,,,
208,sep29,0,0.92,0.0092,,,,,,
209,sep29,120,48.6,0.486,,,,,,
210,sep29,60,28.12,0.2812,,,,,,
211,sep29,90,27.89,0.2789,,,,,,
212,sep29,30,22.13,0.2213,,,,,,
213,oct7,0,0.06,0.0006,,,,,,
214,oct7,30,18.68,0.1868,,,,,,
215,oct7,90,44.42,0.4442,,,,,,
216,oct7,120,36.52,0.3652,,,,,,
217,oct7,15,3.87,0.0387,,,,,,
218,oct7,60,28.37,0.2837,,,,,,
219,oct13,30,5.39,0.0539,,,,,,
220,oct13,60,12.94,0.1294,,,,,,
221,oct13,120,15.32,0.1532,,,,,,
222,oct13,90,18.04,0.1804,,,,,,
223,oct13,0,0.35,0.0035,,,,,,
224,oct13,15,1.82,0.0182,,,,,,
225,oct20,15,0.08,0.0008,,,,,,
226,oct20,120,2.15,0.0215,,,,,,
227,oct20,30,1.27,0.0127,,,,,,
228,oct20,90,2.15,0.0215,,,,,,
229,oct20,60,1.16,0.0116,,,,,,
230,oct20,0,0.4,0.004,,,,,,
301,sep20,120,45.17,0.4517,,,,,,
302,sep20,60,35.31,0.3531,,,,,,
303,sep20,90,28.37,0.2837,,,,,,
304,sep20,0,3.41,0.0341,,,,,,
305,sep20,15,29.05,0.2905,,,,,,
306,sep20,30,40,0.4,,,,,,
307,sep29,0,0.16,0.0016,,,,,,
308,sep29,90,26.54,0.2654,,,,,,
309,sep29,30,17.68,0.1768,,,,,,
310,sep29,120,45.34,0.4534,,,,,,
311,sep29,60,35.85,0.3585,,,,,,
312,sep29,15,18.09,0.1809,,,,,,
313,oct7,90,26.39,0.2639,,,,,,
314,oct7,120,48,0.48,,,,,,
315,oct7,15,10.47,0.1047,,,,,,
316,oct7,0,0.01,0.0001,,,,,,
317,oct7,30,16.21,0.1621,,,,,,
318,oct7,60,22.33,0.2233,,,,,,
319,oct13,120,27.92,0.2792,,,,,,
320,oct13,60,12.72,0.1272,,,,,,
321,oct13,30,10.14,0.1014,,,,,,
322,oct13,0,0.09,0.0009,,,,,,
323,oct13,90,19.38,0.1938,,,,,,
324,oct13,15,5.87,0.0587,,,,,,
325,oct20,0,0.03,0.0003,,,,,,
326,oct20,15,0.19,0.0019,,,,,,
327,oct20,60,5.12,0.0512,,,,,,
328,oct20,90,5.78,0.0578,,,,,,
329,oct20,30,0.74,0.0074,,,,,,
330,oct20,120,7.43,0.0743,,,,,,
401,sep20,15,32.43,0.3243,,,,,,
402,sep20,30,42.28,0.4228,,,,,,
403,sep20,90,44.91,0.4491,,,,,,
404,sep20,120,59.12,0.5912,,,,,,
405,sep20,0,2.13,0.0213,,,,,,
406,sep20,60,48.58,0.4858,,,,,,
407,sep29,90,41.09,0.4109,,,,,,
408,sep29,30,28.06,0.2806,,,,,,
409,sep29,60,41.34,0.4134,,,,,,
410,sep29,120,34.46,0.3446,,,,,,
411,sep29,0,1.19,0.0119,,,,,,
412,sep29,15,6.83,0.0683,,,,,,
413,oct7,60,26.97,0.2697,,,,,,
414,oct7,120,38.71,0.3871,,,,,,
415,oct7,30,15.75,0.1575,,,,,,
416,oct7,90,27.44,0.2744,,,,,,
417,oct7,15,7.24,0.0724,,,,,,
418,oct7,0,0.01,0.0001,,,,,,
419,oct13,0,0.02,0.0002,,,,,,
420,oct13,30,8.06,0.0806,,,,,,
421,oct13,120,30.75,0.3075,,,,,,
422,oct13,90,17.56,0.1756,,,,,,
423,oct13,60,13.05,0.1305,,,,,,
424,oct13,15,2.75,0.0275,,,,,,
425,oct20,30,0.29,0.0029,,,,,,
426,oct20,120,3.66,0.0366,,,,,,
427,oct20,60,3.39,0.0339,,,,,,
428,oct20,0,0.02,0.0002,,,,,,
429,oct20,90,5.15,0.0515,,,,,,
430,oct20,15,0.66,0.0066,,,,,,
,,,,,,,,,,
